make,type,transmission,fuel,fuel_comb,emissions,engine(l),cylinder
lexus,suv,automatic_shift,x,11.7,269,3.5,6
subaru,compact,manual,z,12.5,291,2.5,4
honda,mid_size,automatic,x,9,209,3.5,6
chevrolet,compact,automatic_shift,z,16.5,386,6.2,8
ford,compact,automatic_shift,x,13.1,305,5,8
chevrolet,suv,automatic,e,14.2,234,2.4,4
lexus,mid_size,automatic_shift,z,12.3,286,4.6,8
buick,suv,automatic_shift,x,8.2,192,1.4,4
nissan,mid_size,continuously_variable,z,8.2,193,1.6,4
nissan,van_wagon,continuously_variable,x,9.7,225,3.5,6
cadillac,full_size,automatic_shift,z,11.2,263,3,6
honda,mid_size,automatic_shift,x,9.1,211,2,4
jaguar,full_size,automatic_shift,z,13.3,306,5,8
chevrolet,compact,continuously_variable,x,7.1,167,1.4,4
ford,compact,manual,x,12.8,300,5,8
porsche,compact,automated_manual,z,11,253,3.8,6
toyota,compact,automatic_shift,x,6.6,155,1.5,4
chevrolet,suv,automatic,e,18.4,294,5.3,8
audi,two_seater,automated_manual,x,9,209,2,4
toyota,suv,manual,x,13.9,320,4,6
porsche,compact,manual,z,10.4,243,3,6
jaguar,two_seater,automatic_shift,z,10.8,253,3,6
nissan,mid_size,continuously_variable,x,7,164,1.6,4
bmw,suv,automatic_shift,z,14.6,341,4.4,8
mazda,compact,automatic_shift,x,6.9,162,2,4
bmw,suv,automatic_shift,z,14.6,339,3,6
ford,other,automatic_shift,e,12.6,209,2,4
volvo,van_wagon,automatic_shift,z,10,233,2,4
toyota,suv,continuously_variable,x,7.2,169,2.5,4
chevrolet,compact,automatic_shift,x,7.3,172,1.4,4
kia,full_size,automatic_shift,x,8.2,198,2.4,4
mercedes_benz,suv,automatic_shift,z,15.6,359,4.7,8
hyundai,mid_size,automatic_shift,x,6.3,145,2.4,4
subaru,mid_size,continuously_variable,x,10.3,241,3.6,6
ford,pickup,automatic_shift,e,17.5,291,5,8
mini,mid_size,manual,z,9.1,214,1.5,3
kia,van_wagon,automatic_shift,x,11.4,269,3.3,6
bmw,compact,automatic_shift,z,11.7,273,4.4,8
chevrolet,mid_size,manual,x,8,184,1.8,4
chevrolet,pickup,automatic,x,13,303,5.3,8
bmw,suv,automatic,z,10,230,2,4
jaguar,compact,automatic_shift,z,10.2,238,3,6
bmw,compact,automatic_shift,z,8.6,202,2,4
mazda,van_wagon,manual,x,9.8,229,2.5,4
bmw,suv,automatic_shift,d,7.9,213,2,4
jeep,suv,automatic,x,11.1,259,3.2,6
porsche,two_seater,manual,z,9.8,229,2,4
lexus,compact,automatic_shift,z,12.2,285,5,8
toyota,mid_size,continuously_variable,x,6.8,163,1.8,4
cadillac,mid_size,automatic_shift,z,9.8,229,2,4
mercedes_benz,two_seater,automatic_shift,z,12.8,303,4,8
nissan,two_seater,automatic_shift,z,11.5,271,3.7,6
volvo,van_wagon,automatic_shift,z,9.3,218,2,4
mini,compact,automatic,z,8.3,191,1.6,4
jeep,suv,automatic,x,11.3,265,3.6,6
gmc,pickup,automatic,x,12.6,296,4.3,6
chevrolet,mid_size,automatic,x,7.6,179,1.5,4
nissan,suv,continuously_variable,x,8.8,202,2.5,4
bmw,mid_size,automatic_shift,z,11.7,273,4.4,8
porsche,full_size,automated_manual,z,11.1,255,3.6,6
jeep,suv,automatic,e,13.3,218,2.4,4
ford,compact,manual,z,14.6,341,5.2,8
nissan,two_seater,automatic_shift,z,11.4,262,3.7,6
bmw,full_size,automatic_shift,z,15.1,355,6.6,12
nissan,suv,manual,x,13.7,315,4,6
gmc,pickup,automatic,x,12.5,294,5.3,8
infiniti,mid_size,automatic_shift,z,11.6,267,3.7,6
chevrolet,van_wagon,automatic,x,17.5,414,4.8,8
nissan,suv,continuously_variable,x,10.7,250,3.5,6
hyundai,mid_size,manual,x,8.3,191,2,4
volkswagen,compact,manual,x,8.5,198,2,4
cadillac,mid_size,automatic_shift,x,10.5,246,3.6,6
chevrolet,van_wagon,automatic_shift,x,8.3,195,1.8,4
bmw,compact,automatic_shift,z,7.8,183,3,6
jaguar,full_size,automatic_shift,e,17.5,280,5,8
ford,pickup,automatic_shift,x,11.2,263,3.3,6
gmc,van_wagon,automatic,x,19,445,6,8
porsche,compact,automated_manual,z,10.5,242,3.4,6
jeep,suv,automatic,x,10.9,257,2,4
mercedes_benz,compact,automatic_shift,z,13.1,308,5.5,8
porsche,two_seater,manual,z,10.4,245,3.4,6
nissan,pickup,automatic_shift,x,14.2,333,5.6,8
mercedes_benz,mid_size,automatic_shift,z,10.2,240,3.5,6
audi,compact,automated_manual,z,10.2,235,2,4
ford,mid_size,continuously_variable,x,5.5,126,2,4
kia,van_wagon,automatic_shift,x,12.2,296,3.3,6
toyota,mid_size,continuously_variable,x,4.8,110,1.8,4
jeep,suv,automatic,e,15.6,250,3.6,6
bmw,compact,manual,z,8.7,200,2,4
jeep,suv,continuously_variable,x,11.1,255,2.4,4
chevrolet,pickup,automatic,x,11.7,275,2.7,4
toyota,pickup,automatic_shift,x,16.5,382,5.7,8
audi,compact,automatic_shift,z,10.5,245,3,6
chevrolet,pickup,automatic,x,11.9,279,3.6,6
audi,compact,automatic,z,13.3,306,4.2,8
volkswagen,compact,automatic_shift,x,8.9,205,2,4
ford,suv,automatic_shift,x,13.3,322,3.5,6
bmw,compact,automatic_shift,z,9.9,232,3,6
nissan,compact,automated_manual,z,12.8,300,3.8,6
ford,mid_size,automatic_shift,x,9.3,214,2,4
bmw,compact,automatic_shift,z,8.8,205,2,4
chevrolet,mid_size,manual,x,8.2,189,1.8,4
cadillac,mid_size,automatic_shift,z,12.2,293,3.6,6
nissan,pickup,automatic,x,12.2,283,2.5,4
chevrolet,suv,automatic,x,14.3,336,5.3,8
jeep,suv,automatic,x,9.2,216,1.3,4
ford,suv,automatic_shift,e,16.5,269,3.5,6
mazda,mid_size,manual,x,8.1,186,2.5,4
toyota,pickup,automatic_shift,x,14.2,334,4.6,8
hyundai,suv,automatic_shift,x,8.6,202,2,4
nissan,van_wagon,manual,z,8.5,198,1.6,4
mazda,compact,manual,x,8,189,2.5,4
cadillac,full_size,automatic_shift,x,11.6,267,3.6,6
nissan,mid_size,manual,x,7.6,179,1.6,4
infiniti,suv,automatic_shift,z,15,345,5.6,8
cadillac,suv,automatic_shift,z,10.1,235,2,4
bmw,compact,manual,z,13.8,324,4.4,8
mercedes_benz,van_wagon,automated_manual,z,9.6,225,2,4
ford,compact,manual,x,13.8,324,5,8
ford,pickup,automatic_shift,x,10.6,249,2.7,6
audi,compact,automatic_shift,z,9.8,225,2,4
hyundai,compact,automatic_shift,x,7.7,177,1.6,4
ford,mid_size,manual,x,9,217,2,4
bmw,compact,automated_manual,z,12.7,299,3,6
volvo,compact,automatic_shift,z,10.3,241,2,4
porsche,compact,automated_manual,z,9.7,228,3,6
jeep,suv,automatic,z,15.7,368,6.4,8
nissan,two_seater,manual,z,11.5,269,3.7,6
gmc,suv,automatic,z,14.3,329,6.2,8
volvo,compact,automatic_shift,z,9.4,221,2,4
jeep,suv,automatic,x,10,230,2.4,4
bmw,suv,automatic_shift,d,8,211,2,4
dodge,full_size,automatic,z,12.9,302,6.4,8
mini,mid_size,automatic_shift,z,9.2,214,2,4
cadillac,mid_size,automatic_shift,z,14,329,6.2,8
mercedes_benz,two_seater,automatic,z,11.7,275,4.7,8
subaru,mid_size,continuously_variable,x,10.3,241,3.6,6
jeep,suv,automatic,x,11.6,269,3.2,6
buick,mid_size,automatic_shift,z,9.7,231,2,4
mercedes_benz,suv,automatic_shift,z,14.2,327,4.7,8
chevrolet,suv,automatic,x,11.1,261,3.6,6
subaru,van_wagon,manual,x,9,211,2,4
mini,compact,automatic_shift,z,8.7,200,1.6,4
jeep,suv,continuously_variable,x,11.1,259,2.4,4
volkswagen,suv,automatic_shift,d,10,277,3,6
ford,compact,manual,x,13.1,307,5,8
chevrolet,van_wagon,manual,x,7.4,175,1.4,4
audi,compact,automatic_shift,z,9.6,224,2,4
bmw,mid_size,automatic_shift,z,9.8,231,3,6
mercedes_benz,suv,automatic_shift,z,16.5,369,5.5,8
hyundai,suv,automatic,x,11.1,255,2.4,4
dodge,mid_size,manual,z,14.7,353,6.2,8
toyota,suv,automatic_shift,x,11.1,260,3.5,6
mini,mid_size,manual,z,9.2,215,2,4
ford,pickup,automatic_shift,x,11.4,268,2.7,6
lexus,mid_size,automatic_shift,z,10.9,254,3.5,6
mini,compact,automatic,z,7.8,179,1.6,4
bmw,suv,automatic_shift,z,12.6,294,4.4,8
ford,pickup,automatic_shift,x,11.8,277,2.7,6
lexus,suv,continuously_variable,x,7.4,176,2.5,4
gmc,pickup,automatic,z,14,324,6.2,8
ford,pickup,automatic_shift,e,14.9,248,3.3,6
gmc,pickup,automatic,x,11.9,279,4.3,6
hyundai,compact,automatic_shift,z,12.2,284,3.8,6
volkswagen,suv,automatic_shift,d,10.2,277,3,6
lexus,compact,automatic_shift,z,9.6,221,2.5,6
mercedes_benz,suv,automatic_shift,z,14.2,327,4.7,8
audi,compact,automated_manual,z,10.3,241,2.5,5
jaguar,full_size,automatic_shift,z,13.3,313,5,8
porsche,full_size,automated_manual,z,12.7,292,4.8,8
lexus,mid_size,automatic_shift,z,12.3,283,4.6,8
ford,suv,automatic_shift,x,12.1,284,3.5,6
subaru,suv,manual,x,9.6,221,2.5,4
mercedes_benz,van_wagon,automatic,z,13.3,312,4,8
chevrolet,suv,automatic_shift,x,8.2,194,1.4,4
infiniti,compact,manual,z,11.6,267,3.7,6
audi,mid_size,automatic_shift,z,10.5,247,3,6
cadillac,full_size,automatic_shift,x,11.1,261,3.6,6
chevrolet,pickup,automatic,x,11.7,279,4.3,6
bmw,compact,automatic_shift,z,10,233,3,6
hyundai,mid_size,manual,x,9,214,1.6,4
nissan,suv,automatic_shift,x,15.6,364,5.6,8
hyundai,full_size,automatic_shift,x,9.1,209,2,4
chevrolet,suv,automatic,x,13.7,321,5.3,8
bmw,suv,automatic_shift,z,10,233,2,4
bmw,compact,automatic,z,12.7,292,4.4,8
toyota,pickup,manual,x,13.1,301,4,6
chevrolet,pickup,automatic,e,18,296,4.3,6
cadillac,full_size,automatic_shift,z,11.2,263,3,6
lexus,compact,automatic_shift,z,12.7,289,5,8
subaru,suv,manual,x,9.7,223,2.5,4
toyota,mid_size,continuously_variable,x,7.3,168,1.8,4
mazda,compact,automatic_shift,x,7.7,179,2,4
mercedes_benz,suv,automatic_shift,z,15.2,350,4.7,8
ford,compact,automatic_shift,x,9.4,216,2.3,4
infiniti,mid_size,automatic_shift,z,11.1,261,3,6
ford,suv,automatic_shift,x,9.8,231,2,4
mercedes_benz,suv,automatic,z,14.7,353,3,6
porsche,compact,automated_manual,z,9.4,221,3,6
jaguar,compact,automatic_shift,z,13.7,315,5,8
mercedes_benz,compact,automatic_shift,z,11.7,268,4,8
jeep,suv,automatic,x,11.1,259,3.2,6
dodge,full_size,automatic,x,11,258,3.6,6
mercedes_benz,suv,automatic_shift,d,10.3,278,3,6
ford,pickup,automatic_shift,d,10.7,287,3,6
mercedes_benz,suv,automatic,z,13.2,309,4,8
bmw,full_size,automatic_shift,z,12.8,294,4.4,8
gmc,suv,automatic,e,17.1,284,5.3,8
chevrolet,full_size,automatic_shift,x,9.6,225,2.5,4
bmw,suv,automatic_shift,z,11.1,260,3,6
toyota,pickup,automatic_shift,x,11.7,274,2.7,4
gmc,van_wagon,automatic,x,18.9,435,6,8
jeep,suv,automatic,x,11.6,269,3.2,6
nissan,pickup,manual,x,13.5,317,4,6
cadillac,full_size,automatic_shift,x,11.1,261,3.6,6
toyota,van_wagon,continuously_variable,x,5.5,126,1.8,4
honda,mid_size,automatic_shift,x,9.6,225,3.5,6
dodge,full_size,automatic,e,15,248,3.6,6
nissan,van_wagon,continuously_variable,x,7.9,182,1.6,4
mercedes_benz,two_seater,automatic_shift,z,9.8,229,3.5,6
volkswagen,compact,manual,z,9.2,212,2,4
audi,two_seater,automatic,z,9.1,209,2,4
ford,other,automatic_shift,e,12.5,208,2,4
toyota,suv,automatic_shift,x,11.6,267,3.5,6
subaru,mid_size,continuously_variable,x,7.9,182,2.5,4
mazda,mid_size,automatic_shift,x,7.6,175,2.5,4
mercedes_benz,suv,automatic_shift,z,20.3,467,6,12
hyundai,full_size,automatic_shift,x,8.5,202,2.4,4
toyota,van_wagon,automatic_shift,x,11.3,260,3.5,6
mercedes_benz,compact,automated_manual,z,8.5,199,2,4
ford,full_size,automatic_shift,e,14.9,248,3.5,6
hyundai,full_size,automatic_shift,x,8.2,193,2.4,4
chevrolet,suv,automatic,x,12.8,300,3.6,6
hyundai,full_size,automatic_shift,x,8.2,199,2,4
toyota,pickup,automatic_shift,x,11.9,278,3.5,6
chevrolet,suv,automatic,x,13.3,313,5.3,8
lexus,mid_size,automatic_shift,x,5.3,124,2.5,4
honda,suv,automatic,x,11.3,266,3.5,6
chevrolet,suv,automatic,e,19,317,5.3,8
bmw,full_size,automatic_shift,z,14.7,355,6.6,12
bmw,compact,automatic_shift,z,12.5,292,4.4,8
gmc,suv,automatic,x,11.7,275,3.6,6
buick,mid_size,automatic_shift,z,9.7,227,2,4
chevrolet,pickup,automatic,x,13.9,327,5.3,8
mercedes_benz,compact,automatic_shift,z,13.1,308,5.5,8
bmw,compact,manual,z,9,211,2,4
porsche,compact,manual,z,11.2,262,3.8,6
bmw,suv,automatic_shift,d,9.3,249,3,6
ford,other,automatic_shift,x,10.4,244,2.5,4
mazda,compact,automatic_shift,x,6.9,159,2,4
audi,mid_size,automatic_shift,d,8.1,217,3,6
ford,other,automatic_shift,e,14.6,240,2.5,4
honda,mid_size,continuously_variable,x,4.8,114,1.5,4
chevrolet,compact,automatic_shift,x,7.1,166,1.4,4
hyundai,mid_size,automated_manual,x,5.6,132,2,4
ford,compact,manual,x,8.1,186,2,4
bmw,compact,automatic_shift,z,10.2,235,3,6
bmw,suv,automatic_shift,z,10.8,254,3,6
lexus,compact,continuously_variable,z,8,187,3.5,6
bmw,mid_size,manual,z,13.7,315,4.4,8
honda,mid_size,continuously_variable,x,5,114,2,4
mini,compact,automatic_shift,z,7.9,184,1.5,3
gmc,suv,automatic,e,18,299,5.3,8
honda,suv,continuously_variable,x,8,188,1.5,4
jaguar,two_seater,automatic_shift,z,9,215,2,4
jeep,suv,manual,x,11.7,277,3.6,6
nissan,mid_size,continuously_variable,z,8.2,193,1.6,4
toyota,suv,automatic_shift,x,10.7,246,2.7,4
bmw,suv,automatic_shift,z,12.8,302,4.4,8
bmw,compact,manual,z,11.7,267,3,6
ford,pickup,automatic_shift,d,10,270,3,6
gmc,pickup,automatic,d,9.1,245,3,6
nissan,van_wagon,manual,x,9.2,217,2,4
toyota,mid_size,automatic_shift,x,9.7,225,3.5,6
ford,pickup,automatic,x,12.5,292,3.5,6
ford,pickup,automatic_shift,x,10.8,254,3.3,6
nissan,suv,continuously_variable,x,10.7,250,3.5,6
gmc,suv,automatic,e,19.3,321,5.3,8
audi,compact,automatic_shift,z,10.8,252,3,6
toyota,mid_size,continuously_variable,x,7.5,176,1.8,4
ford,suv,automatic_shift,x,11.3,260,3.5,6
mazda,suv,automatic_shift,x,8.5,201,2.5,4
toyota,compact,manual,z,9.9,232,2,4
jeep,suv,manual,x,9.4,221,2.4,4
mercedes_benz,suv,automatic_shift,z,8.7,200,2,4
bmw,compact,automated_manual,z,10.4,245,3,6
chevrolet,compact,automatic_shift,x,10.4,246,3.6,6
jaguar,mid_size,automatic_shift,z,11.6,267,3,6
dodge,mid_size,automatic,x,12.7,294,5.7,8
toyota,suv,continuously_variable,x,8.2,189,3.5,6
chevrolet,two_seater,manual,z,15.6,368,6.2,8
lexus,suv,automatic_shift,z,9.6,221,2,4
mercedes_benz,compact,automatic,z,11.2,263,4,8
ford,suv,automatic,x,7.9,185,1.5,3
buick,compact,manual,z,9.8,225,2,4
bmw,compact,manual,z,9,207,2,4
bmw,mid_size,automatic_shift,z,12.3,288,4.4,8
chevrolet,van_wagon,automatic,x,18.2,419,4.8,8
chevrolet,compact,manual,z,14.7,348,6.2,8
volvo,compact,automatic_shift,z,10.3,241,2,4
jaguar,two_seater,automatic_shift,z,12.7,299,5,8
jaguar,two_seater,automatic_shift,z,11.3,265,3,6
subaru,compact,manual,z,12.2,285,2.5,4
ford,van_wagon,automatic_shift,e,20,328,3.5,6
mini,two_seater,automatic,z,8.2,191,1.6,4
porsche,two_seater,manual,z,9.8,229,2,4
nissan,other,continuously_variable,x,9.4,220,2,4
subaru,suv,automatic_shift,x,11.7,269,3.6,6
toyota,pickup,automatic_shift,x,15.9,371,5.7,8
chevrolet,compact,automatic_shift,z,12,279,6.2,8
toyota,compact,automatic,x,7.3,168,1.5,4
mercedes_benz,van_wagon,automatic,z,11.1,261,3,6
mazda,suv,automatic_shift,x,8.2,189,2,4
gmc,suv,automatic,e,18.4,305,5.3,8
bmw,suv,automatic_shift,z,12.8,302,4.4,8
chevrolet,compact,automatic_shift,x,8.3,191,1.8,4
mercedes_benz,other,automatic_shift,z,10.2,240,2,4
honda,van_wagon,continuously_variable,x,6.5,151,1.5,4
nissan,van_wagon,continuously_variable,x,9.9,232,3.5,6
cadillac,compact,manual,z,12.2,289,3.6,6
honda,van_wagon,continuously_variable,x,8.2,193,1.8,4
jaguar,compact,automatic_shift,z,13.5,310,5,8
kia,full_size,automatic_shift,x,8.5,199,2,4
mazda,suv,automatic_shift,x,8.1,190,2.5,4
chevrolet,pickup,automatic,e,19.5,326,5.3,8
chevrolet,suv,automatic,e,13.3,223,2.4,4
ford,compact,manual,x,9,217,2.3,4
mazda,van_wagon,manual,x,9.7,230,2.5,4
gmc,suv,automatic,z,14,322,6.2,8
chevrolet,compact,automatic_shift,x,11.2,258,3.6,6
lexus,mid_size,automatic_shift,x,9.7,226,3.5,6
chevrolet,pickup,automatic,x,11.8,271,3.6,6
audi,compact,manual,z,12.4,285,3,6
chevrolet,compact,manual,x,8,184,1.8,4
bmw,suv,automatic_shift,z,10.9,257,3,6
toyota,suv,continuously_variable,x,8.3,193,3.5,6
mazda,suv,automatic_shift,x,10.5,244,2.5,4
mercedes_benz,full_size,automatic,z,11.7,275,4,8
nissan,suv,continuously_variable,x,10.7,251,3.5,6
gmc,suv,automatic,e,16.5,284,5.3,8
jeep,suv,automatic,x,11.1,259,3.2,6
lexus,suv,automatic_shift,z,9.6,225,2,4
gmc,van_wagon,automatic,e,25.7,411,6,8
subaru,full_size,continuously_variable,x,8.7,205,2.4,4
mazda,mid_size,automatic_shift,x,8,188,2.5,4
volkswagen,compact,manual,z,9.8,225,2,4
ford,suv,automatic_shift,x,12.9,303,3.5,6
jeep,suv,automatic,x,14.8,340,5.7,8
audi,mid_size,automatic_shift,z,10.7,246,4,8
dodge,full_size,automatic,x,12.9,297,5.7,8
chevrolet,full_size,automatic_shift,x,9.5,224,2.5,4
nissan,mid_size,continuously_variable,x,7,164,1.6,4
ford,pickup,automatic_shift,x,13,304,5,8
bmw,compact,manual,z,11.7,273,3,6
cadillac,mid_size,automatic_shift,x,11.4,262,3.6,6
gmc,pickup,automatic,x,13.3,317,4.3,6
dodge,suv,automatic,x,11.7,276,3.6,6
kia,compact,automatic_shift,x,8.6,200,2,4
ford,van_wagon,automatic_shift,e,21,345,3.7,6
chevrolet,pickup,automatic,e,16.9,270,5.3,8
honda,suv,continuously_variable,x,7.6,177,1.8,4
lexus,suv,automatic_shift,z,9.7,226,2,4
bmw,compact,manual,z,10.4,245,3,6
jeep,suv,automatic,x,9.8,225,2.4,4
chevrolet,two_seater,automatic_shift,z,11.7,269,6.2,8
mercedes_benz,full_size,automatic_shift,z,13.3,313,5.5,8
subaru,compact,manual,z,12.7,296,2.5,4
toyota,pickup,manual,x,12.9,300,3.5,6
hyundai,suv,automatic_shift,x,9,213,2,4
porsche,two_seater,automated_manual,z,10.6,249,2.5,4
mercedes_benz,van_wagon,automatic_shift,z,13.5,310,5.5,8
lexus,suv,continuously_variable,z,8.1,190,3.5,6
chevrolet,pickup,automatic,x,13.5,317,5.3,8
porsche,suv,automatic,z,11.7,277,3.6,6
chevrolet,pickup,automatic,x,13.5,318,4.3,6
kia,mid_size,automatic,x,8.4,193,2,4
porsche,full_size,automated_manual,z,12.7,298,4.8,8
cadillac,mid_size,automatic_shift,x,10.4,247,3.6,6
ford,full_size,automatic_shift,e,15.2,254,3.5,6
porsche,compact,automated_manual,z,11.4,266,3.8,6
bmw,compact,automatic_shift,z,8.7,200,3,6
chevrolet,pickup,automatic,x,14,339,5.3,8
toyota,mid_size,continuously_variable,x,7.6,178,1.8,4
subaru,mid_size,continuously_variable,x,10.4,241,3.6,6
mercedes_benz,full_size,automatic_shift,z,13.2,313,5.5,8
ford,other,automatic_shift,e,14.6,240,2.5,4
volvo,van_wagon,automatic_shift,z,9.4,219,2,4
audi,compact,continuously_variable,z,8.9,212,2,4
honda,suv,continuously_variable,x,8.6,202,2.4,4
kia,compact,automatic,x,8.4,193,2,4
jaguar,compact,automatic_shift,z,10.2,238,3,6
mercedes_benz,suv,automatic_shift,e,16,256,3.5,6
audi,full_size,automatic_shift,z,13.2,308,4,8
gmc,pickup,automatic,x,13.8,324,5.3,8
ford,suv,automatic_shift,e,16.1,258,3.5,6
ford,compact,automatic_shift,x,12.3,289,5,8
volkswagen,van_wagon,manual,x,9.3,218,1.8,4
lexus,suv,automatic_shift,x,10.8,252,3.5,6
gmc,suv,automatic,x,12.7,305,5.3,8
cadillac,suv,automatic_shift,x,10.6,250,3.6,6
lexus,mid_size,continuously_variable,x,5.3,124,2.5,4
chevrolet,two_seater,manual,z,11.2,258,6.2,8
nissan,mid_size,continuously_variable,x,9,207,3.5,6
nissan,mid_size,continuously_variable,x,7.5,176,2.5,4
volkswagen,compact,automatic_shift,x,8.7,205,2,4
jeep,suv,manual,x,9.3,218,2.4,4
mercedes_benz,compact,automatic,z,10.8,251,3,6
kia,van_wagon,automatic_shift,x,8.9,206,1.6,4
mercedes_benz,van_wagon,automatic,z,10.8,255,3,6
audi,full_size,automatic_shift,z,12.5,288,4,8
volvo,compact,automatic_shift,x,9.4,220,2,4
ford,pickup,automatic_shift,x,13.9,320,5,8
chevrolet,compact,automatic_shift,x,8,184,1.4,4
volkswagen,compact,automatic_shift,x,7,162,1.4,4
nissan,pickup,automatic,x,12.1,285,2.5,4
kia,mid_size,manual,x,7.6,180,2,4
bmw,full_size,automatic_shift,z,12.1,283,4.4,8
lexus,suv,continuously_variable,z,8.2,189,3.5,6
hyundai,full_size,manual,x,8.8,207,2,4
chevrolet,pickup,automatic,x,14,326,5.3,8
dodge,suv,automatic,x,11.3,265,3.6,6
mercedes_benz,compact,automatic_shift,e,14,224,3.5,6
chevrolet,suv,automatic,x,13,304,3.6,6
toyota,mid_size,manual,x,7.4,170,1.8,4
ford,suv,automatic_shift,x,11.2,267,2.3,4
chevrolet,compact,manual,x,7.5,173,1.4,4
mazda,two_seater,manual,z,8.1,189,2,4
bmw,compact,automatic_shift,z,12.2,292,4.4,8
mini,mid_size,automatic_shift,z,9.2,215,2,4
mini,mid_size,manual,z,9.7,228,2,4
ford,suv,automatic_shift,x,11.7,274,3.5,6
gmc,suv,automatic,x,14.3,336,5.3,8
porsche,compact,manual,z,10.1,237,3,6
chevrolet,compact,automatic_shift,x,10.5,242,3.6,6
jeep,suv,automatic,x,10.4,248,2.4,4
ford,other,automatic_shift,x,10.4,243,2.5,4
toyota,mid_size,manual,x,7.9,185,1.8,4
toyota,suv,automatic_shift,x,12.8,298,4,6
gmc,suv,automatic,z,10.2,239,2,4
mercedes_benz,compact,automatic_shift,z,13.8,322,5.5,8
dodge,mid_size,manual,x,7.3,168,1.4,4
lexus,suv,continuously_variable,x,7.4,176,2.5,4
nissan,pickup,automatic,x,12.7,300,4,6
honda,mid_size,continuously_variable,x,4.9,114,1.5,4
jaguar,two_seater,manual,z,12.6,296,3,6
audi,compact,manual,z,8.6,204,2,4
bmw,compact,manual,z,10.4,242,3,6
gmc,suv,automatic,x,10.1,237,2.4,4
bmw,compact,automatic_shift,z,13.8,322,4.4,8
ford,pickup,automatic_shift,x,11,259,3.3,6
kia,van_wagon,manual,x,8.8,208,1.6,4
volkswagen,compact,automatic_shift,x,8.5,201,1.8,4
chevrolet,compact,automatic_shift,z,11.6,272,6.2,8
mercedes_benz,compact,automated_manual,z,8.7,204,2,4
jeep,suv,manual,x,9.1,209,2,4
gmc,suv,automatic,x,13,304,5.3,8
audi,compact,automatic_shift,z,10,230,2,4
hyundai,mid_size,automatic_shift,x,8.3,191,2,4
dodge,mid_size,automatic,x,8.6,198,2,4
volvo,compact,automatic_shift,x,9.4,219,2,4
kia,full_size,automatic_shift,x,8,190,2.4,4
hyundai,compact,manual,x,8.4,198,2,4
porsche,compact,automated_manual,z,10.6,244,3.8,6
buick,suv,automatic,z,10.6,248,2,4
mercedes_benz,two_seater,automatic,z,8.8,205,2,4
jaguar,two_seater,manual,z,12.7,302,3,6
ford,van_wagon,automatic_shift,x,15.1,354,3.7,6
honda,mid_size,continuously_variable,x,6.9,162,2,4
volkswagen,van_wagon,manual,d,7.3,196,2,4
toyota,suv,automatic_shift,x,8.8,205,2.5,4
ford,suv,automatic_shift,x,13.1,307,3.5,6
cadillac,compact,automatic_shift,x,10.9,251,3.6,6
hyundai,suv,automatic_shift,x,10.1,241,2.4,4
bmw,compact,automatic_shift,z,9.9,231,3,6
toyota,suv,automatic_shift,x,9.4,216,2.5,4
toyota,mid_size,automatic_shift,x,9.2,215,3.5,6
porsche,compact,automated_manual,z,11.8,277,3,6
honda,full_size,continuously_variable,x,6.9,162,1.5,4
chevrolet,van_wagon,automatic_shift,x,7.8,184,1.4,4
dodge,mid_size,manual,z,14.7,352,6.2,8
mercedes_benz,two_seater,automatic_shift,z,14.2,335,6,12
mazda,mid_size,manual,x,7.8,181,2,4
bmw,compact,automated_manual,z,12.1,284,3,6
mercedes_benz,two_seater,automated_manual,z,14,327,4,8
audi,compact,manual,z,9.1,214,2,4
dodge,suv,automatic,x,14.1,331,5.7,8
dodge,mid_size,manual,z,13.9,325,6.4,8
nissan,suv,continuously_variable,x,11.8,271,3.5,6
chevrolet,compact,automatic_shift,x,8.4,195,1.4,4
kia,suv,automatic_shift,x,10,230,2.4,4
ford,suv,automatic_shift,x,9.7,229,2.5,4
kia,compact,manual,x,8.8,209,2,4
ford,pickup,automatic_shift,x,18,414,6.2,8
infiniti,suv,continuously_variable,z,9.7,228,2,4
gmc,suv,automatic,x,13.4,315,3.6,6
chevrolet,pickup,automatic,x,13,299,5.3,8
bmw,compact,automatic_shift,z,10.5,248,3,6
toyota,suv,automatic_shift,x,10.6,248,3.5,6
ford,pickup,automatic_shift,e,17.5,290,5,8
nissan,mid_size,continuously_variable,x,7.4,174,2.5,4
infiniti,compact,automatic_shift,z,11.7,269,3.7,6
gmc,suv,automatic,x,13,305,5.3,8
chevrolet,suv,automatic,x,13.4,315,3.6,6
chevrolet,suv,automatic,d,7.4,198,1.6,4
volkswagen,compact,manual,x,8.4,196,1.8,4
ford,suv,automatic_shift,x,11,258,2.7,6
buick,mid_size,automatic_shift,x,8.2,189,2.4,4
chevrolet,pickup,automatic,z,14.1,330,6.2,8
audi,suv,automatic_shift,z,11,258,2,4
gmc,suv,automatic,z,10.2,239,2,4
jaguar,mid_size,automatic_shift,z,10.4,243,3,6
volkswagen,compact,manual,x,8,184,1.8,4
cadillac,mid_size,automatic_shift,z,12.7,311,3.6,6
toyota,suv,automatic_shift,x,9.4,220,2.5,4
kia,van_wagon,automated_manual,x,4.7,110,1.6,4
ford,compact,automatic_shift,x,7.8,183,2,4
ford,full_size,automatic_shift,e,14.7,235,3.5,6
volvo,suv,automatic_shift,x,8.8,202,2,4
kia,full_size,automatic_shift,x,11.8,279,3.8,6
