Course Name,category,sub Category,AVG Rating,number ratings,enrollment,last UPDATED,,lectures,duration,COST,COST2,discount,inst rating,inst review,inst student
AWS Certified Solutions Architectâ€“Professional : Real Tests,it software,IT Certification,4.5,6635,28027,10/2020,,22,2h 7m,,EUR14.06,85%,4.4,12357,55285
Tableau Desktop Specialist Certification Guide,business,Operations,4.5,4587,15924,4/2017,,53,6h 26m,CAD$19.99,,74%,4.5,26337,93654
Build EU GDPR data protection compliance from scratch (CIPT),development,Data Science,4.5,2788,15771,6/2020,,78,10h 3m,CAD$17.99,EUR12.05,32%,4.5,10647,101757
CompTIA Advanced Security Practitioner (CASP),it software,Other,4.3,1543,7307,9/2020,,225,18h 55m,CAD$21.99,EUR14.73,92%,4.2,3747,38755
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",development,Programming Languages,4.7,634,4444,8/2020,,33,10h 51m,CAD$20.99,EUR14.06,88%,4.4,14859,118994
Full-Stack Vue with GraphQL - The Ultimate Guide,development,Web Development,4.4,631,3438,5/2020,,154,24h 7m,CAD$16.99,,90%,4.4,7731,32824
Write a Bestselling Novel in 15 Steps (Writing Mastery),design,Graphic Design,4.6,20909,122988,9/2020,,36,9h 25m,CAD$16.99,,92%,4.6,29658,225350
Master Java Web Services and RESTful API with Spring Boot,development,Game Development,4.6,1291,6642,10/2020,,82,8h 52m,,EUR16.74,79%,4.7,13999,64522
Learn Close Combat Training: Military Hand-To-Hand Combat,office productivity,Microsoft,4.5,9963,41008,10/2020,,139,11h 33m,CAD$17.99,EUR29.48,85%,4.6,214436,707746
,,,,,,,,,,,,,,,
Intro to Analyzing Rental Income Properties,business,Industry,4,51,84,8/2020,,22,2h 17m,CAD$21.99,,87%,4,51,84
CCNA 2020 200-125 Video Boot Camp With Chris Bryant,it software,Operating Systems,4.5,24973,121710,10/2020,,62,5h 7m,CAD$17.99,,85%,4.5,92301,476330
Swift 5 Programming For Beginners,development,Web Development,4.6,10306,50276,8/2020,,438,61h 47m,CAD$17.99,,64%,4.7,105011,344414
Social Media Marketing - Complete Certificate Course,office productivity,Other,4.4,3313,13993,6/2020,,63,5h 41m,CAD$25.99,,90%,4.3,3489,16403
Ethical Hacking using Kali Linux from A to Z Course,business,Human Resources,4.1,2187,7460,2/2019,,72,3h 37m,CAD$16.99,,88%,4.1,2211,7507
"Full Stack Project: Spring Boot 2.0, ReactJS, Redux",it software,IT Certification,4.5,1065,6297,9/2020,,80,8h 24m,,EUR17.41,91%,4.5,26464,140740
Design your Room Using Sketchup,design,Design Tools,4.5,3485,15659,5/2019,,45,4h 55m,CAD$17.99,,88%,4.5,357769,1675102
Learn API Technical Writing 2: REST for Writers,it software,IT Certification,4.2,3001,71965,1/2017,,82,4h 58m,CAD$19.99,,92%,4.2,62102,769645
Autonomous Cars: Deep Learning and Computer Vision in Python,development,Software Engineering,4.7,27519,145986,10/2020,,178,14h 43m,CAD$21.99,,74%,4.7,165670,562565
AWS Certified Solutions Architect Professional Practice Exam,it software,IT Certification,3.9,270,1955,2/2020,,47,4h 44m,CAD$16.99,,87%,3.9,1299,9529
Go Java Full Stack with Spring Boot and React,development,Data Science,4.6,508,5815,10/2020,,53,10h 48m,CAD$17.99,,67%,4.6,100829,404488
Microsoft Advanced Excel Dashboard : Zero To Hero (Complete),business,Data & Analytics,4.5,2661,11296,10/2020,,138,26h 19m,CAD$29.99,,88%,4.5,2661,11296
The Complete Python 3 Course: Beginner to Advanced!,development,Web Development,4.5,4353,17141,7/2020,,115,5h 51m,CAD$21.99,,84%,4.6,509994,1193050
Getting Started with Spring Boot 2,development,Data Science,4.6,3523,32042,9/2019,,67,7h 49m,,EUR14.73,60%,4.6,31457,126576
The Complete Guide To Multifamily Real Estate Investing,business,Entrepreneurship,4.3,1443,10396,6/2017,,28,2h 37m,CAD$19.99,,89%,4.2,2152,14813
The Complete Hands-On Introduction to Apache Airflow,development,Web Development,4.6,884,7307,4/2020,,212,16h 45m,CAD$21.99,,89%,4.6,2744,15184
Oracle PL/SQL Fundamentals vol. I & II,personal development,Creativity,4.6,867,8773,9/2020,,47,5h 17m,CAD$20.99,,55%,4.5,947,9130
CCDAK Confluent Certified Developer for Apache Kafka TESTS,business,Finance,4.4,4934,29233,2/2018,,58,5h 44m,CAD$17.99,,85%,4.3,11551,78519
Understanding and Troubleshooting SIP,it software,IT Certification,4.5,529,2343,4/2020,,93,11h 57m,CAD$21.99,,74%,4.1,887,6901
Full Stack Java developer - Java + JSP + Restful WS + Spring,development,Game Development,4.6,1692,7578,10/2020,,46,3h 15m,CAD$16.99,,58%,4.6,3813,11496
SAP : Supply Chain Logistics in R/3,office productivity,Microsoft,4.4,529,2538,1/2020,,42,1h 46m,CAD$16.99,EUR31.49,87%,4.4,39566,149847
Recommender Systems and Deep Learning in Python,design,Design Tools,4.6,2990,90763,11/2019,,96,8h 54m,CAD$16.99,,92%,4.6,34255,299936
Customer Success Manager: Fundamentals to your CSM career,business,Data & Analytics,4.6,1687,7654,12/2019,,413,20h 20m,CAD$16.99,,90%,4.5,24804,89898
ICS/SCADA Cyber Security,it software,IT Certification,4.6,250,1038,9/2020,,106,14h 49m,,EUR17.41,91%,4.5,250,1107
The Secrets of Body Language,teaching academics,Test Prep,4.7,225,1359,7/2015,,31,5h 20m,CAD$23.99,,74%,4.5,999,2521
"Node.js, Express & MongoDB Dev to Deployment",development,Web Development,4.4,2720,14728,10/2020,,70,3h 39m,,EUR11.38,80%,4.3,3001,15591
Account Management for Beginners,business,Operations,4.6,3664,11792,9/2017,,87,11h 46m,CAD$23.99,,83%,4.4,31525,74271
The Gradle Masterclass,it software,IT Certification,4.5,1451,5458,4/2019,,87,47h 12m,,EUR36.84,92%,4.5,19007,52032
Passive Income : Top 3 Easiest FREE Websites,business,Industry,4.3,925,3340,9/2020,,38,5h 56m,CAD$16.99,,66%,4.3,3268,11635
How to Design a Signature Coaching or Consulting Program,health fitness,General Health,4.6,1676,12189,7/2019,,123,18h 46m,CAD$20.99,,86%,4.6,1676,12189
"Vue - The Complete Guide (w/ Router, Vuex, Composition API)",development,Game Development,4.4,948,9264,10/2020,,129,13h 30m,,EUR16.07,85%,4.7,13999,64522
World-Class HR: 21st Century Talent Management,business,Operations,4.4,1263,5921,10/2020,,88,8h 5m,CAD$20.99,,69%,4.5,26337,93654
JavaScript Algorithms and Data Structures Masterclass,development,Databases,4.5,7174,32052,8/2020,,206,29h 24m,,EUR11.38,62%,4.5,288507,988674
"Learn how to buy a house ""subject to"" the existing financing",business,Home Business,4.6,183,1970,11/2018,,67,5h 10m,CAD$21.99,,86%,4.4,3761,23189
"Learn to play HARMONICA, the easiest instrument to pick up!",teaching academics,Language,4.6,1621,18908,10/2020,,80,2h 19m,CAD$16.99,EUR42.88,86%,4.5,14266,56898
Develop Parametric Architecture with Grasshopper,design,Graphic Design,4.7,1348,16034,5/2020,,77,8h 56m,CAD$23.99,,83%,4.6,30976,127890
Part 1 Foundation Enterprise Architect Certification Trng,development,Software Testing,4.6,50703,150698,10/2020,,360,55h 57m,CAD$24.99,EUR16.74,76%,4.6,114787,285433
Simple Solutions for Common Dog Behavior & Training Problems,lifestyle,Arts & Crafts,4.8,1764,15066,9/2020,,65,5h 14m,CAD$16.99,EUR38.19,84%,4.7,17768,63356
Pass your VMware VCA-DBT 1V0-701 exam - PRACTICE TEST,business,Home Business,4.5,1457,4521,8/2017,,88,8h 15m,CAD$17.99,,62%,4.4,2760,8553
Grant Writing for Nonprofits and Freelance Writers,business,Data & Analytics,4.1,893,3673,9/2020,,53,2h 30m,CAD$159.99,,92%,4.2,1436,10641
AWS Solutions Architect Associate Practice Exams 2020,it software,IT Certification,4.7,7175,51148,1/2020,,67,5h 25m,,EUR13.39,72%,4.6,100190,314001
How to Create an Empire on Airbnb without Owning a Home,business,Real Estate,4.6,903,16181,11/2019,,76,3h 12m,CAD$20.99,,85%,4.5,22767,215522
Revit Architecture II Course Complete Intermediate Training,office productivity,SAP,4.4,5398,29344,10/2019,,156,10h 52m,CAD$17.99,,90%,4.3,11275,49419
GraphQL with React: The Complete Developers Guide,development,Programming Languages,4.4,2260,13123,8/2020,,188,27h 43m,,EUR16.74,91%,4.2,5048,57476
Data Modeling and Relational Database Design using ERwin,it software,Other,4.3,1460,9473,9/2018,,91,13h 21m,CAD$16.99,,32%,4.4,20670,154908
TOTAL: CompTIA CySA+ Cybersecurity Analyst (CS0-001).,it software,Hardware,3.8,347,2920,5/2020,,13,1h 45m,CAD$16.99,,91%,4.1,8696,59170
PowerPoint & Excel Fusion (+250 PowerPoint Slides),health fitness,General Health,4.5,2292,12399,10/2020,,29,3h 25m,CAD$17.99,EUR46.9,88%,4.6,26035,130950
Complete React Native bootcamp - Build 18 iOS & Android app,development,Web Development,4.6,599,2730,9/2020,,69,8h 12m,CAD$21.99,,32%,4.5,13481,93664
DevOps CI CD with Jenkins,development,Game Development,4.4,1987,20578,10/2020,,77,7h 55m,,EUR14.73,87%,4.3,2374,28326
Microsoft Project 13/16/19 - Like a Boss (Exam 74-343 prep),personal development,Personal Transformation,3.4,227,827,5/2020,,44,3h 12m,CAD$16.99,EUR27.47,91%,3.3,255,925
The Practical BPMN 2.0 Master Class,business,Data & Analytics,4.5,655,2607,8/2020,,101,11h 0m,CAD$20.99,,72%,4.4,924,3348
Git a Web Developer Job: Mastering the Modern Workflow,development,Programming Languages,4.5,5339,40809,8/2020,,52,8h 13m,CAD$16.99,,86%,4.5,19737,87740
Programming Numerical Methods in Python,development,Databases,4.4,3551,18124,6/2018,,74,11h 21m,,EUR18.75,80%,4.4,14259,73406
"Learn Massage For Lovers, Friends And Family",lifestyle,Gaming,4.6,1333,8919,7/2017,,16,3h 6m,CAD$16.99,,88%,4.5,13415,64047
How to Build an Instagram Clone w/ React Native & Firebase,development,E-Commerce,3.8,381,1551,9/2020,,88,13h 42m,CAD$16.99,,88%,3.8,381,1551
Master Google Sheets (and see why it's better than Excel),music,Vocal,4.4,619,9736,1/2018,,50,6h 47m,CAD$16.99,EUR18.76,85%,4.4,4136,30746
Oracle WebLogic 12c for Administrators,it software,IT Certification,4.3,669,4552,10/2020,,105,15h 11m,CAD$19.99,,88%,4.2,11745,48203
LEED Green Associate V4 Exam | 4 Full Practice Tests,design,Graphic Design,4.4,1982,18823,9/2018,,169,21h 16m,CAD$19.99,,56%,4.4,23759,498116
The Complete Freelance Writing Course,business,Finance,4,519,3963,9/2019,,43,9h 17m,CAD$21.99,,86%,4.2,780,7845
SAP SD Advanced Training,it software,Operating Systems,4.7,10015,55205,8/2020,,50,5h 2m,CAD$16.99,,84%,4.7,39821,154006
MQL4 Programming for Traders: Build Robust Trading Robots!,business,Entrepreneurship,4.4,1366,16163,7/2020,,174,29h 59m,CAD$23.99,,83%,4.6,24576,160587
Unified Modeling Language (UML): Complete Guide & Examples,development,Web Development,4.6,5086,21876,2/2020,,47,6h 42m,CAD$21.99,EUR44.89,88%,4.5,7167,42005
The Last Amazon FBA Course - [ 2020 ] Private Label Guide,design,Design Tools,4.7,1594,11652,7/2020,,119,6h 52m,CAD$21.99,,77%,4.5,9080,153929
"Microsoft 70-740 - Install, Storage & Compute w/ Server 2016",it software,Operating Systems,4.2,331,2033,9/2019,,73,8h 22m,CAD$27.99,,84%,4.1,47720,626911
React Hooks Tutorial - Master React Hooks Development,development,Development Tools,4.4,1365,6380,3/2019,,164,16h 37m,CAD$16.99,,90%,4.4,2753,15046
Hacking with macOS - Build 18 Desktop Apps with Swift 5,development,Programming Languages,4.7,10792,59047,10/2020,,135,12h 51m,,EUR14.06,81%,4.7,282312,865160
Private Equity - Ultimate Private Equity Modeling Course,design,Graphic Design,4.6,26119,118520,10/2020,,85,7h 44m,CAD$21.99,,69%,4.6,38752,163098
UI & Web Design using Adobe Illustrator CC,marketing,Marketing Fundamentals,4.6,1144,6073,7/2018,,97,19h 59m,CAD$17.99,,86%,4.5,3650,23896
Value Investing Bootcamp: How to Invest Wisely,music,Other,4.5,262,1108,10/2020,,59,16h 10m,CAD$19.99,EUR22.78,86%,4.5,262,1108
CorelDRAW for Beginners: Graphic Design in Corel Draw,health fitness,General Health,4.4,454,1650,5/2020,,103,5h 41m,CAD$16.99,,89%,4.5,500,1860
Programming in Microsoft C# - Exam 70-483,it software,Other,4.1,1055,5298,12/2018,,97,18h 7m,CAD$16.99,,89%,4.1,6183,34200
Business Branding: The Complete Course Part 1 - Strategy,music,Vocal,4.9,458,2022,12/2018,,71,6h 7m,CAD$16.99,EUR11.38,87%,4.8,3662,48797
Feature Selection for Machine Learning,development,Programming Languages,4.7,4713,120029,2/2018,,154,12h 28m,CAD$19.99,EUR13.39,83%,4.6,74745,517994
Neo4j: GraphDB Foundations with Cypher,development,Software Engineering,4.5,10854,54089,9/2020,,143,12h 13m,CAD$16.99,EUR40.2,89%,4.5,13050,62066
"Master Microcontroller :TIMERS, PWM, CAN,RTC,LOW POWER(MCU2)",it software,Other,4.2,745,2715,8/2019,,46,5h 7m,CAD$16.99,,69%,4.2,745,2715
PowerShell for Active Directory Administrators,it software,IT Certification,4.2,188,1037,10/2018,,352,37h 15m,CAD$16.99,EUR11.38,40%,4.1,397,1805
Best QA Manual Software Testing: Live Project+Agile+Jira+API,it software,Other,4.2,1477,5235,5/2016,,120,13h 32m,CAD$16.99,,89%,4.3,113570,1204639
Oracle SQL : Become a Certified SQL Developer From Scratch!,development,Development Tools,4.6,8490,38729,8/2018,,79,6h 34m,CAD$23.99,EUR40.87,78%,4.5,193164,454107
Web Development w/ Googleâ€™s Go (golang) Programming Language,development,Web Development,4.5,2368,11632,11/2019,,103,14h 41m,,EUR18.75,88%,3.9,86364,1205292
C# Developers: Learn the Art of Writing Clean Code,development,Web Development,4.6,3007,19028,8/2020,,224,18h 26m,CAD$16.99,,92%,4.5,93980,682792
Cisco CCNP Enterprise ( ENARSI + ENCOR ) Training,it software,IT Certification,4.6,25588,97083,12/2018,,42,3h 10m,CAD$21.99,,88%,4.6,100190,314001
Accelerated ES6 JavaScript Training,development,Data Science,4.6,2868,22432,8/2020,,119,9h 20m,CAD$19.99,,35%,4.6,100829,404454
NgRx (with NgRx Data) - The Complete Guide (FREE E-Book),development,Software Engineering,4.5,1054,4944,10/2020,,114,25h 32m,CAD$25.99,,58%,4.5,2468,8071
,,,,,,,,,,,,,,,
Learn and Understand AngularJS,development,Web Development,4.6,1141,9803,5/2019,,87,18h 49m,CAD$16.99,EUR11.38,86%,4.4,5403,36936
Complete Linear Algebra for Data Science & Machine Learning,development,Programming Languages,4.6,30067,111122,10/2020,,16,2h 25m,CAD$24.99,,51%,4.5,288507,988948
TOTAL: CompTIA PenTest+ (Ethical Hacking) + 2 FREE Tests.,it software,IT Certification,4.7,46789,194022,4/2020,,68,6h 4m,,EUR11.38,88%,4.7,165670,562565
CFAÂ® Level 1 (20/21) - Complete Financial Reporting Analysis,business,Finance,3,209,4517,8/2020,,25,5h 14m,CAD$16.99,,90%,3.5,2499,61132
Create Chatbot for Website with React and Node.js,development,Web Development,4.6,284,1231,10/2020,,91,14h 27m,CAD$21.99,,88%,4.6,298,1296
Microsoft SQL Server Integration Services (SSIS) Training,development,Web Development,4.6,45327,199936,10/2020,,77,12h 14m,CAD$21.99,,62%,4.6,187702,902713
Six Sigma White Belt,business,Operations,4.3,904,3179,8/2020,,11,3h 31m,CAD$149.99,,84%,4.2,6562,33468
Splunk Hands-on - The Complete Data Analytics using Splunk,business,Finance,4.3,709,3414,7/2015,,77,5h 0m,CAD$16.99,,64%,4.4,8194,34037
Relationship Management in Corporate Banking,business,Project Management,4.4,861,5194,10/2020,,12,1h 38m,CAD$16.99,,74%,4.6,14353,61725
Meditation for Beginners: How to Meditate Deeply & Quickly,teaching academics,Language,4.4,8675,48870,5/2020,,218,11h 36m,CAD$19.99,EUR23.45,86%,4.3,20660,130929
Siemens NX Unigraphics (UG) Fundamental 3D Modelling Course,design,3D & Animation,4.7,969,4932,6/2020,,323,109h 12m,CAD$27.99,,89%,4.7,7071,27323
Shopify Power: Build An Ecommerce Website Using Shopify,development,Programming Languages,4.2,19374,483700,7/2020,,128,7h 33m,CAD$16.99,,90%,4.2,49049,999253
Screenwriting & Storytelling Blueprint: Hero's Two Journeys,teaching academics,Language,4.6,1634,6061,5/2020,,59,6h 22m,CAD$19.99,,88%,4.6,3479,48178
Stress Management: 40+ easy ways to deal with stress,personal development,Personal Finance,4.4,21313,113494,6/2020,,97,10h 59m,CAD$16.99,EUR16.08,77%,4.4,36428,306687
GCP: Complete Google Data Engineer and Cloud Architect Guide,development,Web Development,4.4,6542,37683,8/2020,,49,6h 24m,,EUR11.38,62%,4.4,112580,556334
AWS Certified Cloud Practitioner 500 Practice Exam Questions,it software,IT Certification,4.4,2005,15606,10/2020,,126,10h 12m,,EUR11.38,89%,4.4,13811,59727
Airbnb Entrepreneur : Become the Best Listing in Town!,business,Finance,4,260,884,6/2020,,81,7h 42m,CAD$21.99,,88%,3.9,398,5489
Cisco Application Centric Infrastructure - ACI,office productivity,Microsoft,4.4,1867,11198,3/2017,,281,33h 51m,CAD$19.99,EUR13.39,60%,4.4,39566,149857
"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",development,Web Development,4.7,12757,52660,8/2020,,207,41h 16m,,EUR14.06,86%,4.7,87085,224428
KiCad Like a Pro 2nd edition,development,Software Engineering,4.4,680,3743,1/2020,,34,3h 0m,CAD$16.99,EUR22.11,84%,4.1,8696,59170
SQL Advanced,it software,Network & Security,4.5,30861,168176,10/2017,,27,1h 48m,CAD$17.99,,69%,4.5,49411,216369
MBA in a Box: Business Lessons from a CEO,business,Sales,4.3,3537,15093,9/2020,,119,12h 3m,CAD$17.99,,92%,4.4,22226,80724
How To Create Sales Funnels Without ClickFunnels! No Costs!,design,Interior Design,4.4,3314,15946,3/2020,,74,3h 29m,CAD$16.99,,88%,4.4,17393,50619
CISSP practice questions #2 - ALL CISSP domains 250 Q - 2020,it software,IT Certification,4.3,1070,6611,10/2020,,75,7h 34m,CAD$16.99,,88%,4.5,26464,140740
Code Your First Website with HTML & CSS for Kids & Beginners,development,Web Development,4.8,457,2052,10/2020,,210,25h 49m,,EUR21.43,88%,4.6,3130,7059
SAP Plant Maintenance Training,office productivity,Microsoft,4.6,21073,111329,10/2020,,28,5h 56m,CAD$27.99,EUR41.54,77%,4.6,119619,376397
Luxury Spa Facial Certificate Course- A Step by Step Guide,health fitness,Meditation,4.7,3188,14180,7/2017,,47,4h 48m,CAD$21.99,,90%,4.7,28856,110341
The Complete Presentation and Public Speaking/Speech Course,business,Finance,4.2,1656,6942,10/2020,,94,4h 46m,CAD$20.99,,80%,4.3,6236,39433
Exam 70-778 - Microsoft Power BI - Practice Test (2020),business,Finance,4.4,2901,17417,12/2016,,79,9h 9m,CAD$104.99,,89%,4.5,339445,1162093
Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,development,Software Testing,4.4,1269,7362,8/2020,,307,32h 2m,CAD$16.99,,89%,4.6,5118,43427
Master Microservices with Spring Boot and Spring Cloud,development,Web Development,3.9,1685,12918,4/2020,,123,10h 30m,,EUR16.07,92%,4.1,14747,381866
PLC Programming - Training from Scratch on RSLogix500 & 5000,development,Software Engineering,4,6539,29436,1/2020,,193,18h 25m,CAD$21.99,,49%,4.1,11595,49809
AZ-900 -- Microsoft Azure Fundamentals -- Practice Tests,business,Finance,4.6,2944,20323,5/2020,,80,6h 9m,CAD$19.99,,83%,4.5,462859,1573740
Deep Learning Prerequisites: Linear Regression in Python,development,Programming Languages,4.5,5975,37643,10/2020,,48,5h 52m,CAD$21.99,EUR30.82,89%,4.5,92301,476330
QuickBooks For Contractors,business,Sales,4.5,2633,14448,8/2020,,77,6h 43m,CAD$16.99,,81%,4.4,22226,80724
The Bootstrap 4 Bootcamp,development,Game Development,3.7,142,1287,2/2019,,52,4h 51m,CAD$23.99,,90%,4.2,9863,146257
Ultimate AWS Certified Solutions Architect Associate 2020,business,Finance,3.7,25,225,7/2020,,75,9h 25m,CAD$16.99,,86%,4,143,1182
Psychic Abilities and Increased Intuition with EFT (Tapping),health fitness,Sports,4.5,4513,16963,10/2020,,47,4h 21m,CAD$29.99,EUR37.52,69%,4.5,4513,19606
Cinematography Course: Shoot Better Video with Any Camera,office productivity,Microsoft,4.7,10720,54007,4/2017,,93,6h 44m,CAD$17.99,EUR46.23,70%,4.6,119619,376397
SPSS Beginners: Master SPSS,business,Data & Analytics,4.5,7777,41671,10/2019,,128,5h 45m,CAD$17.99,,89%,4.5,9559,69040
Lean Six Sigma Green Belt Online Course (2020),business,Home Business,3.9,1556,15638,9/2020,,14,3h 29m,CAD$16.99,,90%,3.9,1556,15638
Building Interactive Dashboards with Tableau,development,Web Development,4.6,5200,23639,6/2020,,504,99h 22m,CAD$23.99,EUR35.51,77%,4.5,5783,52793
Dissecting Ruby on Rails 5 - Become a Professional Developer,development,Web Development,4.8,375,5811,8/2020,,98,10h 35m,,EUR14.73,32%,4.5,49502,376881
Building Financial Dashboard in Google Data Studio,design,Graphic Design,4.4,1031,18021,5/2020,,185,30h 39m,CAD$16.99,,55%,4.4,9150,80556
Chief Financial Officer Leadership Program,business,Entrepreneurship,4.5,2349,68233,10/2020,,44,4h 24m,CAD$20.99,,85%,4.4,66705,546069
AWS Certified Solutions Architect - Associate 2020,business,Operations,4.4,4834,15392,9/2020,,57,6h 32m,CAD$16.99,,92%,4.5,11840,34501
Selenium WebDriver with Java & Cucumber BDD,development,Databases,4.5,1153,5894,1/2020,,52,3h 45m,,EUR14.73,87%,4.5,13645,95995
ADDIE: Training and Development Professionals' Guide,health fitness,General Health,4.7,5795,29605,9/2020,,49,3h 57m,CAD$16.99,EUR37.52,50%,4.6,14053,85242
Kotlin for Android: Beginner to Advanced,development,Data Science,4.4,15195,82674,7/2020,,134,20h 13m,,EUR16.07,89%,4.6,652986,1979353
AWS Certified Advanced Networking - Specialty 2020,it software,IT Certification,4.6,1305,12181,9/2020,,36,3h 21m,CAD$16.99,,32%,4.5,19007,52032
Learn Parallel Programming with C# and .NET,development,Databases,4.6,1155,6139,10/2020,,322,44h 29m,CAD$16.99,EUR11.38,88%,4.5,35048,255012
The Complete WordPress Website & SEO Training Masterclass,design,3D & Animation,4.1,398,2152,10/2018,,10,53m,CAD$34.99,,88%,4.1,528,2465
Digitally Painting Light and Color: Amateur to Master,marketing,Public Relations,4.6,891,4347,2/2017,,44,3h 19m,CAD$16.99,,60%,4.5,15417,69523
Start & Run a Local Viral Email Marketing Home Business,business,Project Management,4.5,15575,50532,5/2020,,87,7h 24m,CAD$19.99,,43%,4.5,119842,393060
The Complete Android Oreo Developer Course - Build 23 Apps!,development,Web Development,4.6,10832,66117,7/2020,,122,7h 51m,,EUR18.75,89%,4.6,258820,671113
Learn JIRA with real-world examples (+Confluence bonus),development,Software Engineering,4.4,2247,16129,10/2020,,41,5h 34m,,EUR14.06,92%,4.4,28778,167870
Automated Software Testing with Python,development,Programming Languages,4.3,2948,16789,8/2020,,28,1h 46m,,EUR11.38,90%,4.4,23374,121576
Software Testing Masterclass (2020) - From Novice to Expert,development,Mobile Apps,4.4,711,2310,9/2020,,77,12h 22m,CAD$16.99,EUR22.11,32%,4.4,6063,49852
Django 2.2 & Python | The Ultimate Web Development Bootcamp,development,Web Development,4.4,1393,8305,8/2020,,69,9h 43m,CAD$16.99,EUR11.38,82%,4.4,5854,26521
How To Do Chiropractic Adjustments: The Fundamentals,teaching academics,Social Science,4.4,1177,4255,9/2020,,226,20h 1m,CAD$21.99,EUR14.73,88%,,16852,53475
The Complete Splunk Beginner Course,business,Finance,3.9,110,21420,8/2020,,125,17h 44m,CAD$19.99,,92%,3.7,3469,120008
Interactive Python Dashboards with Plotly and Dash,development,Web Development,4.7,5180,32276,3/2018,,53,6h 4m,CAD$21.99,,37%,4.6,258820,671113
[2020] The Complete Management Skills Certification Course,business,Data & Analytics,3.9,548,4279,10/2019,,51,1h 53m,CAD$179.99,,73%,4.3,10625,76899
Online Japanese N4 Course(All 15 lessons),music,Music Fundamentals,,1013,3368,10/2020,,154,8h 22m,CAD$16.99,EUR17.42,89%,4.7,1601,4316
AWS Certified Security - Specialty Practice Test Questions,it software,IT Certification,4.3,6589,49052,9/2020,,54,14h 25m,,EUR11.38,89%,4.3,51924,228793
"Azure Bundle Prep for AZ-900 , AZ-103 and Az-104",it software,IT Certification,4.6,428,11734,7/2020,,99,16h 2m,,EUR13.39,88%,4.4,475,21705
Build a Serverless App with AWS Lambda - Hands On!,development,Software Engineering,4,489,3032,10/2020,,368,36h 50m,,EUR14.73,83%,4.4,5854,26521
YouTube Ads Mastery ft. The Triple Threat Strategy,teaching academics,Math,4.2,288,,9/2020,,232,15h 12m,CAD$21.99,EUR14.73,90%,4.1,1273,4359
PHP with Laravel for beginners - Become a Master in Laravel,development,Web Development,4.4,1502,9233,1/2019,,45,4h 2m,CAD$21.99,,82%,4.4,16470,78878
Wordpress for Beginners - Master Wordpress Quickly,design,Other,4.3,226,2809,4/2020,,22,4h 40m,CAD$17.99,,81%,4.2,1543,9870
3ds Max Mastery in 7 Hrs: Project Based Intro for Beginners,design,Graphic Design,4.4,629,2207,10/2020,,12,2h 8m,CAD$16.99,,67%,4.5,914,19407
QGIS 3.10 LTR for GIS Professionals,it software,Other,4.6,5586,20081,4/2020,,63,5h 2m,CAD$20.99,,84%,4.5,10405,100781
AZ-302 Azure Solutions Architect Transition Exam Cert Prep,it software,IT Certification,4.5,1554,4890,7/2020,,67,5h 1m,,EUR11.38,91%,4.5,12611,45114
Learn Maya - A Beginners guide to Creating Realistic Scenes,design,3D & Animation,4.3,255,1774,9/2019,,88,17h 30m,CAD$17.99,,32%,4.5,3136,14568
The Complete Basic Electricity & Electronics Course,it software,Other,4.5,1697,9040,10/2019,,73,4h 56m,CAD$19.99,,88%,4.5,8170,26495
Deep Tissue Massage Certificate Course (5 CEU's),personal development,Personal Finance,4.2,1811,33303,10/2020,,105,11h 1m,CAD$16.99,EUR44.22,88%,4.5,245360,2011894
Unsupervised Deep Learning in Python,development,Web Development,4.6,84710,352300,9/2020,,168,9h 57m,CAD$16.99,,88%,4.6,187702,902713
"Successful Events: Event Planning, Marketing & Management",music,Instruments,4.5,1372,6116,9/2020,,27,2h 55m,CAD$69.99,,88%,4.4,6123,23132
Digital Painting Master Class : Beginner to Advanced,marketing,Video & Mobile Marketing,4.6,3035,12711,8/2020,,188,16h 51m,CAD$16.99,EUR11.38,80%,4.6,13506,54269
How to Find & Correct Writing Errors: The Proofreading Guide,business,Home Business,4.6,828,4224,9/2020,,116,18h 43m,CAD$16.99,,64%,4.5,31511,125818
Ansible Advanced - Hands-On - DevOps,it software,Network & Security,4.6,3160,31185,10/2020,,51,7h 1m,CAD$25.99,,76%,4.6,6197,50576
Alteryx Bootcamp,development,Web Development,4.7,555,1567,11/2019,,71,13h 43m,,EUR18.75,89%,4.6,587,9073
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nuxt.js - Vue.js on Steroids,development,Data Science,4.5,3255,20713,7/2020,,302,25h 47m,CAD$17.99,EUR12.05,88%,4.6,100829,404488
Learn OAuth 2.0 - Get started as an API Security Expert,development,Software Testing,4.5,6377,30924,10/2020,,65,9h 57m,CAD$24.99,,92%,4.6,114787,285433
Google Tag Manager (GTM) Training Course - From Zero to Hero,teaching academics,Social Science,4.2,317,17579,5/2020,,63,6h 36m,CAD$21.99,EUR14.73,82%,4.4,65635,832553
Dr. Ian Dunbar's SIRIUSÂ® Dog Trainer Academy - All 4 Days,health fitness,Meditation,4.6,995,19705,5/2017,,32,3h 35m,CAD$16.99,,88%,4.3,7162,82443
